manufacturer_sku,ean13,weight,length,width,height,prop_65,cost_price,min_price,made_to_order,product__product_class__name,product__brand__name,product__title,product__description,product__bullets__0,product__bullets__1,product__bullets__2,product__bullets__3,product__bullets__4,product__bullets__5,product__bullets__6,product__configuration__codes,product__multipack_quantity,product__country_of_origin__alpha_3,product__parent_sku,product__arm_height,product__assembly_required,attrib__back_material,attrib__blade_finish,attrib__bulb_included,attrib__bulb_type,attrib__color,attrib__cord_length,attrib__designer_id,attrib__designer,attrib__distressed_finish,attrib__fill,attrib__finish,attrib__frame_color,attrib__hardwire,attrib__kit,attrib__leg_color,attrib__leg_finish,attrib__material,attrib__number_bulbs,attrib__orientation,attrib__outdoor_safe,pile_height,attrib__seat_depth,attrib__seat_height,attrib__seat_width,attrib__shade,attrib__size,attrib__switch_type,attrib__ul_certified,attrib__warranty_years,attrib__wattage,attrib__weave,attrib__weight_capacity,boxes__0__weight,boxes__0__length,boxes__0__height,boxes__0__width,boxes__1__weight,boxes__1__length,boxes__1__height,boxes__1__width,boxes__2__weight,boxes__2__length,boxes__2__height,boxes__2__width,product_styles
7011-299,084-355814031-2,110.20,18.00,44.00,36.00,True,748.50,998.00,False,Furniture,Sterling,Tobin Chest In Heritage Grey Stain,"Beautifully handcrafted from solid mahogany and embellished with gorgeous Coptic-style pulls and moldings, our Tobin series Chest defines the place where graceful and regal intersect. Showcases classic bracketed feet, ample storage and a distinctive Heritage Grey finish.",,,,,,,,,1,IDN,O-104262,,,,,,,,,,,False,,Heritage Grey Stain,,,False,,,Mahogany,,,False,,,,,,,,False,,,,,140.80,38.20,45.30,19.30,,,,,,,,,Transitional
7011-317,084-355814048-0,70.50,17.00,24.00,70.00,True,763.50,1018.00,False,Furniture,Sterling,Tobin Hall Tree In Heritage Grey Stain,"Beautifully handcrafted from solid mahogany and embellished with gorgeous Coptic-style pulls and moldings, our Tobin series Hall Tree defines the place where graceful and regal intersect. Features two coat hooks, elegant spindled feet and a convenient drawer. Distinctive Heritage Grey finish.",,,,,,,,,1,IDN,O-104263,,,,,,,,,,,False,,Heritage Grey Stain,,,,,,Mahogany,,,False,,,,,,,,False,,,,,96.80,67.70,26.00,18.50,,,,,,,,,Traditional
1204-075,081-800803900-3,121.00,35.00,83.00,28.00,True,1860.00,2480.00,False,Seating,Dimond Home,Toffeehammer Sofa,"The velvety texture of the Toffeehammer sofa makes it an inviting centerpiece of a Scandinavian-style living room. The simple geometry of stainless steel legs accentuates a modern interior. Note the grey color: it goes well with colorful ethnic pillowcases or alone, an oasis of calm you wouldn't want to leave.",,,,,,,,,1,CHN,O-104264,,,,,,,Gray,,,,False,,"Grey Velvet, Stainless Steel Legs, Accents",,,,,,"Foam, Stainless Steel, Velvet Fabric",,,False,,,,,,,,False,,,,,132.00,84.00,30.00,35.00,,,,,,,,,Modern / Contemporary
857040,081-800801344-7,1.00,6.00,6.00,6.00,True,18.00,24.00,False,Decorative Accessory,Dimond Home,Tofu Ostrich Egg,,Handcrafted,,,,,,,,1,VN,O-104265,,,,,,,,,,,False,,Cream,,,,,,Earthenware,,,False,,,,,,,,False,,,,,4.00,7.00,7.00,7.00,,,,,,,,,Transitional
857039,081-800801343-0,6.00,15.00,15.00,21.00,True,148.50,198.00,False,Decorative Accessory,Dimond Home,Tofu Urn With Woven Seagrass Trim A,,Hand Applied Finish,,,,,,,,1,VN,O-104266,,,,,,,,,,,False,,Cream,,,,,,Earthenware,,,False,,,,,,,,False,,,,,11.00,22.00,16.00,16.00,,,,,,,,,Transitional
149-043,084-355812852-5,3.00,1.00,35.00,47.00,True,130.50,174.00,False,Wall Decor,Sterling,Together Ii - Oversized Oil On Canvas,,,,,,,,,,1,IDN,O-104267,,,,,,,,,,,False,,Oil on Canvas,,,,,,"Canvas, Wood",,,False,,,,,,,,False,,,,,13.00,37.00,39.00,3.00,,,,,,,,,Transitional
157-035,080-434319305-0,,32.00,31.50,16.30,True,418.50,558.00,False,Furniture,Guildmaster,Tonga Coffee Table,The Tonga Collection coffee table is hand made using acacia wood and concrete.,,,,,,,,,1,VN,O-104268,,,,,,,,,,,False,,"Silver Brushed Wood Tone, Waxed Concrete",,,,,,"Concrete, Acacia Wood",,,False,,,,,,,,False,,,,,84.00,37.00,10.00,37.00,,,,,,,,,Transitional
157-034,080-434319304-3,,18.00,18.10,21.70,True,193.50,258.00,False,Furniture,Guildmaster,Tonga Side Table,The Tonga Collection side table is hand made using acacia wood and concrete.,,,,,,,,,1,VN,O-104268,,,,,,,,,,,False,,"Silver Brushed Wood Tone, Waxed Concrete",,,,,,"Concrete, Acacia Wood",,,False,,,,,,,,False,,,,,11.00,23.00,21.00,21.00,,,,,,,,,Transitional
D3850,081-800804120-4,6.20,14.00,14.00,17.00,True,95.00,171.00,False,Indoor Lighting,Dimond Lighting,Top Brass 2-Light Table Lamp In White Marble With Antique Brass Shade,"Refinement reveals style, experience identifies it, distinction ensues. Our handcrafted Top Brass Club Lamp is not “Transitional,” yet it bridges the gap between modern lightness and traditionally decorated rooms. Unique-chic metal shade styled in fashionable antique brass. Genuine white marble base. Updated Jazz Age motif.",,,,,,,,,1,CHN,O-104269,,,,,No,A19,White,66,,,False,,"White Marble, Antique Brass",,False,,,,"Marble, Metal",2,,False,,,,,,,On-Off Line Switch,True,,40,,,9.00,14.00,18.00,14.00,,,,,,,,,Modern / Contemporary
3116-027,081-800804279-9,65.26,13.19,40.55,38.98,True,480.00,640.00,False,Furniture,Sterling,Topanga Cabinet - Medium,"The Topanga Cabinet is perfect for today’s Modern Bohemian design space. Styled with ""farm-found"" wood done in Weathered Grey, with Antiqued Brass pulls. Fashionable mixed-media drawer-fronts feature urban, Indo-Gothic, and Art Deco-inspired fretwork, as well as black slate and witty graphic arias. Generously scaled.",Finished In Weathered Grey.,Antiqued Brass Pulls.,"Footed, With Crown Molding.",Erasable Slate Surface; Simply Wipe With Damp Cloth.,,,,,1,CHN,O-104270,,,,,,,Gray,,,,False,,Antique Grey,,,,,,"Metal, Wood",,,False,,,,,,Medium,,False,,,,,81.00,44.00,43.00,17.00,,,,,,,,,Transitional
3116-028,081-800804280-5,60.19,12.60,28.94,50.00,True,480.00,640.00,False,Furniture,Sterling,Topanga Cabinet - Tall,"The Topanga Cabinet is perfect for today’s Modern Bohemian design space. Styled with ""farm-found"" wood done in Natural Stain, with Antiqued pulls and soothing Cream facades. Fashionable mixed-media drawer-fronts feature neat Mid-Mod fretwork, as well as black slate and textured fabric arias. Generously scaled.",Finished In Natural Wood Stain With Cream-Colored Drawer Fronts.,Antiqued Brass Pulls.,"Footed, With Crown Molding.",Erasable Slate Surface; Simply Wipe With Damp Cloth.,,,,,1,CHN,O-104270,,,,,,,Brown,,,,False,,"Wood Tone, Cream",,,,,,"Metal, Wood",,,False,,,,,,Tall,,False,,,,,74.00,54.00,33.00,16.00,,,,,,,,,Transitional
3116-029,081-800804281-2,49.38,14.17,36.00,29.00,True,448.50,598.00,False,Furniture,Sterling,Topanga Cabinet - Small,"The Topanga Cabinet is perfect for today’s Modern Bohemian design space. Styled with ""farm-found"" wood done in Light Grey Wash and fashionable gothic or mandala-inspired fretwork. Nostalgic mixed-media drawer-fronts feature simple mesh, black slate, or Antiqued pulls inspired by vintage library catalogs.",Finished In Light Distressed Grey Wash.,Antiqued Brass Pulls.,"Footed, With Crown Molding.",Erasable Slate Surface; Simply Wipe With Damp Cloth.,,,,,1,CHN,O-104270,,,,,,,Gray,,,,False,,Light Grey Wash,,,,,,"Metal, Wood",,,False,,,,,,Small,,False,,,,,57.00,39.00,34.00,18.00,,,,,,,,,Transitional
824009,087-582300413-5,1.00,6.00,6.00,9.00,True,28.50,38.00,False,Decorative Accessory,Dimond Home,Tortoise Hurricane - Sm,,,,,,,,,,1,CHN,O-104271,,,,,,,,,,,False,,Brown,,,,,,Glass,,,False,,,,,,,,False,,,,,3.00,9.50,6.50,6.50,,,,,,,,,Transitional
