,manufacturer_sku,ean13,weight,length,width,height,prop_65,cost_price,min_price,made_to_order,product__product_class__name,product__brand__name,product__title,product__description,product__bullets__0,product__bullets__1,product__bullets__2,product__bullets__3,product__bullets__4,product__bullets__5,product__bullets__6,product__configuration__codes,product__multipack_quantity,product__country_of_origin__alpha_3,product__parent_sku,attrib__arm_height,attrib__assembly_required,attrib__back_material,attrib__blade_finish,attrib__bulb_included,attrib__bulb_type,attrib__color,attrib__cord_length,attrib__design_id,attrib__designer,attrib__distressed_finish,attrib__fill,attrib__finish,attrib__frame_color,attrib__hardwire,attrib__kit,attrib__leg_color,attrib__leg_finish,attrib__material,attrib__number_bulbs,attrib__orientation,attrib__outdoor_safe,attrib__pile_height,attrib__seat_depth,attrib__seat_height,attrib__seat_width,attrib__shade,attrib__size,attrib__switch_type,attrib__ul_certified,attrib__warranty_years,attrib__wattage,attrib__weave,attrib__weight_capacity,boxes__0__weight,boxes__0__length,boxes__0__height,boxes__0__width,boxes__1__weight,boxes__1__length,boxes__1__height,boxes__1__width,boxes__2__weight,boxes__2__length,boxes__2__height,boxes__2__width,boxes__3__weight,boxes__3__length,boxes__3__height,boxes__3__width,product__styles
4755,8990-024,818008022760.0,10.0,16.0,16.0,18.0,True,139.5,,,Seating,Dimond Home,Peweter Pebble Stool,,,,,,,,,,1.0,India,,,,,,,,,,,,,,Antique Pewter,,,No,,,Metal,,,No,,,,,,,,,,,,,12.0,17.5,20.0,17.5,,,,,,,,,,,,,Transitional
4756,8990-030/S2,818008026072.0,7.8,17.5,17.5,18.0,True,195,,,Seating,Dimond Home,Djembe 2-Piece Iron Stool Set,,,,,,,,,,1.0,India,,,,,,,,,,,,,,Copper,,,No,,,,,,No,,,,,,,,,,,,,17.0,20.0,20.0,19.0,,,,,,,,,,,,,Transitional
4757,8990-031/S2,818008026089.0,1.4,12.0,12.0,3.0,True,70.5,,,Decorative Accessory,Dimond Home,Tam-Tam Baskets In Copper - Set of 2,,,Handcrafted,,,,,,,1.0,India,,,,,,,,,,,,,,Copper,,,,,,Metal,,,No,,,,,,,,,,,,,3.6,13.3,6.2,13.1,,,,,,,,,,,,,Transitional
4758,8990-035,818008026102.0,3.0,1.0,36.0,36.0,True,171,,,Wall Decor,Dimond Home,Flux Mirror,,,,,,,,,,1.0,India,,,,,,,,,,,,,,Gold,,,,,,,,,No,,,,,,,,,,,,,6.6,37.0,37.0,5.0,,,,,,,,,,,,,Transitional
4759,8990-036/S2,818008026119.0,11.2,30.0,30.0,13.0,True,405,,,Furniture,Dimond Home,Pascha Accent Table In Copper,,,,,,,,,,1.0,India,,,,,,,,,,,,,,Copper,,,,,,,,,No,,,,,,,,,,,,,23.5,31.0,31.0,14.5,,,,,,,,,,,,,Transitional
4760,8990-038,818008026126.0,8.5,15.0,15.0,20.0,True,148.5,,,Furniture,Dimond Home,Helm Accent Table In Zinc,,,,,,,,,,1.0,India,,,,,,,,,,,,,,Zinc,,,,,,,,,No,,,,,,,,,,,,,20.0,22.0,22.0,19.0,,,,,,,,,,,,,Modern / Contemporary
4761,8990-041,818008030277.0,6.5,1.0,32.0,32.0,True,280.5,,,Wall Decor,Dimond Home,RSVP Mirror,,,,,,,,,,1.0,India,,,,,,,,,,,,,,Gold,,,,,,Aluminium,,,No,,,,,,,,,,,,,8.8,36.0,4.0,36.0,,,,,,,,,,,,,Transitional
4762,8990-042,818008030284.0,6.4,3.0,32.0,27.0,True,249,,,Wall Decor,Dimond Home,Crassus Mirror,,,,,,,,,,1.0,India,,,,,,,,,,,,,,Gold,,,,,,Aluminium,,,No,,,,,,,,,,,,,8.7,36.0,6.0,31.0,,,,,,,,,,,,,Transitional
4763,8990-043,818008030291.0,2.4,1.0,27.0,27.0,True,108,,,Wall Decor,Dimond Home,Guilloche Mirror,,,,,,,,,,1.0,India,,,,,,,,,,,,,,Gold,,,,,,Aluminium,,,No,,,,,,,,,,,,,3.6,31.0,4.8,31.0,,,,,,,,,,,,,Transitional
4764,8990-044,843558151189.0,2.2,2.0,15.5,13.5,True,93,,,Wall Decor,Dimond Home,Archon Mirror,,,,,,,,,,1.0,India,,,,,,,,,,,,,,Gold,,,,,,Aluminium,,,No,,,,,,,,,,,,,3.5,18.5,4.0,16.5,,,,,,,,,,,,,Transitional
4765,8990-046,818008030314.0,2.65,6.0,14.0,18.5,True,117,,,Decorative Accessory,Dimond Home,RSVP Tabletop Sculpture,,,,,,,,,,1.0,India,,,,,,,,,,,,,,"Gold, White Marble",,,,,,Aluminium,,,No,,,,,,,,,,,,,4.0,23.5,10.0,19.0,,,,,,,,,,,,,Transitional
4766,8990-047,818008030321.0,4.55,13.0,13.0,15.0,True,310.5,,,Furniture,Dimond Home,Xanthi Accent Table,,,,,,,,,,1.0,India,,,,,,,,,,,,,,Gold,,,,,,Aluminium,,,No,,,,,,,,,,,,,6.5,16.5,15.0,15.0,,,,,,,,,,,,,Transitional
4767,8990-048,818008033063.0,15.23,3.0,30.0,30.0,True,202.5,,,Wall Decor,Dimond Home,Communion Wall Mirror,,,,,,,,,,1.0,India,,,,,,,,,,,,,,Burnished Metal,,,,,,"Iron, Mirror",,,No,,,,,,,,,,,,,12.0,35.0,8.0,35.0,,,,,,,,,,,,,Transitional
4768,8990-049,818008033070.0,9.93,5.0,25.0,25.0,True,186,,,Wall Decor,Dimond Home,Goldgrass Wall Mirror,,,,,,,,,,1.0,India,,,,,,,,,,,,,,Gold,,,,,,"Iron, Mirror",,,No,,,,,,,,,,,,,13.0,28.0,8.0,28.0,,,,,,,,,,,,,Transitional
4769,8990-050,818008033087.0,6.62,1.0,25.0,25.0,True,124.5,,,Wall Decor,Dimond Home,Zakros Wall Mirror,,,,,,,,,,1.0,India,,,,,,,,,,,,,,Gold,,,,,,"Iron, Mirror",,,No,,,,,,,,,,,,,8.0,27.0,3.0,27.0,,,,,,,,,,,,,Transitional
4770,8990-051,843558152452.0,4.19,3.0,12.0,12.0,True,93,,,Wall Decor,Sterling,Carfax Crossing Wall Clock,,,,,,,,,,1.0,India,,,,,,,,,,,,,,Gold,,,,,,Aluminium,,,No,,,,,,,,,,,,,7.0,15.0,6.5,15.0,,,,,,,,,,,,,Transitional
