,manufacturer_sku,ean13,weight,length,width,height,prop_65,cost_price,min_price,made_to_order,product__product_class__name,product__brand__name,product__title,product__description,product__bullets__0,product__bullets__1,product__bullets__2,product__bullets__3,product__bullets__4,product__bullets__5,product__bullets__6,product__configuration__codes,product__multipack_quantity,product__country_of_origin__alpha_3,product__parent_sku,attrib__arm_height,attrib__assembly_required,attrib__back_material,attrib__blade_finish,attrib__bulb_included,attrib__bulb_type,attrib__color,attrib__cord_length,attrib__design_id,attrib__designer,attrib__distressed_finish,attrib__fill,attrib__finish,attrib__frame_color,attrib__hardwire,attrib__kit,attrib__leg_color,attrib__leg_finish,attrib__material,attrib__number_bulbs,attrib__orientation,attrib__outdoor_safe,attrib__pile_height,attrib__seat_depth,attrib__seat_height,attrib__seat_width,attrib__shade,attrib__size,attrib__switch_type,attrib__ul_certified,attrib__warranty_years,attrib__wattage,attrib__weave,attrib__weight_capacity,boxes__0__weight,boxes__0__length,boxes__0__height,boxes__0__width,boxes__1__weight,boxes__1__length,boxes__1__height,boxes__1__width,boxes__2__weight,boxes__2__length,boxes__2__height,boxes__2__width,boxes__3__weight,boxes__3__length,boxes__3__height,boxes__3__width,product__styles
3038,4209-031/S2,084-355816085-3,15.16,,5.0,15.0,True,191.82,278.0,False,Decorative Accessory,Sterling,Resonance Candle Holders,,,,,,,,,,,CHN,,,,,,,,,,,,,,Gold Plated,,,,,,"Acrylic, Metal",,,,,,,,,,,,,,,,0.0,7.0,17.0,7.0,,,,,,,,,,,,,Transitional
3039,4209-032/S2,084-355816086-0,15.35,,5.0,15.0,True,131.10,190.0,False,Decorative Accessory,Sterling,Grand Palais Candle Holders,,,,,,,,,,,CHN,,,,,,,,,,,,,,Gold Plated,,,,,,"Acrylic, Metal",,,,,,,,,,,,,,,,0.0,7.0,17.0,7.0,,,,,,,,,,,,,Transitional
3040,4209-033,084-355816087-7,2.17,,14.0,2.0,True,75.90,110.0,False,Decorative Accessory,Sterling,Arrivee Tray,,,,,,,,,,,CHN,,,,,,,,,,,,,,Gold Plated,,,,,,"Metal, Mirror",,,,,,,,,,,,,,,,3.08,14.0,2.0,9.0,,,,,,,,,,,,,Transitional
3041,4209-034,084-355816088-4,9.45,,4.0,8.0,True,86.94,126.0,False,Decorative Accessory,Sterling,Resonance Decorative Accessory,,,,,,,,,,,CHN,,,,,,,,,,,,,,Gold Plated,,,,,,"Crystal, Metal",,,,,,,,,,,,,,,,4.18,4.0,8.0,4.0,,,,,,,,,,,,,Transitional
3042,4209-035/S2,084-355816089-1,5.9,,9.0,6.0,True,96.60,140.0,False,Decorative Accessory,Sterling,Twin Peaks Bookends,,,,,,,,,,,CHN,,,,,,,,,,,,,,Clear,,,,,,"Crystal, Glass",,,,,,,,,,,,,,,,12.98,9.0,6.0,4.0,,,,,,,,,,,,,Transitional
3043,4209-036,081-800804308-6,1.8,,2.56,8.0,True,71.76,104.0,False,Decorative Accessory,Dimond Home,Bienvenu Decorative Jar - Tall,,,,,,,,,,,CHN,,,,,,,,,,,,,,"White, Gold",,,,,,"Fabric, Foam, Wood",,,,,,,,,,,,,,,,3.0,11.0,7.0,7.0,,,,,,,,,,,,,Transitional
3044,4209-037,081-800804309-3,2.7,,4.53,5.51,True,71.76,104.0,False,Decorative Accessory,Dimond Home,Bienvenu Decorative Jar - Small,,,,,,,,,,,CHN,,,,,,,,,,,,,,"White, Gold",,,,,,"Foam, Wood, Wool Fabric",,,,,,,,,,,,,,,,4.0,10.0,6.0,9.0,,,,,,,,,,,,,Transitional
3045,4209-039/S2,081-800804310-9,5.94,,10.0,6.0,True,102.12,148.0,False,Decorative Accessory,Dimond Home,Shackleton Bookends,,,,,,,,,,,CHN,,,,,,,,,,,,,,"Clear, White",,,,,,"Foam, Wood, Velvet",,,,,,,,,,,,,,,,4.0,14.0,5.0,9.0,,,,,,,,,,,,,Transitional
3046,4209-050,081-800804313-0,2.34,,4.92,2.76,True,53.82,78.0,False,Decorative Accessory,Dimond Home,Buenos Aires Box,,,,,,,,,,,CHN,,,,,,,,,,,,,,"White Marble, Gold",,,,,,"Marble, Metal",,,,,,,,,,,,,,,,4.0,7.0,4.0,5.0,,,,,,,,,,,,,Transitional
3047,4210-001/S2,084-355815706-8,11.79,,22.44,38.19,True,338.10,490.0,False,Seating,Sterling,Vie En Rose Armchair,,,,,,,,,,,CHN,,,,,,,,,,,,,,Clear,,,,,,ACRYLIC,,,,,,,,,,,,,,,,7.0,24.0,44.0,21.0,,,,,,,,,,,,,Modern / Contemporary
